Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID
PF3D7_0305200	PF3D7_0305200.1	P. falciparum 3D7	Pf3D7_03_v3:251,242..254,661(+)	conserved Plasmodium protein, unknown function	protein coding	814370
PF3D7_0305500	PF3D7_0305500.1	P. falciparum 3D7	Pf3D7_03_v3:261,485..273,286(-)	conserved Plasmodium protein, unknown function	protein coding	814373
PF3D7_0305700	PF3D7_0305700.1	P. falciparum 3D7	Pf3D7_03_v3:278,956..279,828(-)	ubiquitin-conjugating enzyme E2, putative	protein coding	814375
PF3D7_0306100	PF3D7_0306100.1	P. falciparum 3D7	Pf3D7_03_v3:288,637..290,747(-)	conserved Plasmodium protein, unknown function	protein coding	814379
PF3D7_0306200	PF3D7_0306200.1	P. falciparum 3D7	Pf3D7_03_v3:292,943..294,548(+)	activator of Hsp90 ATPase	protein coding	814380
PF3D7_0306800	PF3D7_0306800.1	P. falciparum 3D7	Pf3D7_03_v3:306,108..307,984(-)	T-complex protein 1 subunit beta	protein coding	814386
PF3D7_0307500	PF3D7_0307500.1	P. falciparum 3D7	Pf3D7_03_v3:322,933..324,836(-)	spindle and kinetochore-associated protein 2, putative	protein coding	814392
PF3D7_0307600	PF3D7_0307600.1	P. falciparum 3D7	Pf3D7_03_v3:325,922..328,383(+)	conserved Plasmodium protein, unknown function	protein coding	814393
PF3D7_0307700	PF3D7_0307700.1	P. falciparum 3D7	Pf3D7_03_v3:328,787..335,269(-)	conserved Plasmodium protein, unknown function	protein coding	814394
PF3D7_0307800	PF3D7_0307800.1	P. falciparum 3D7	Pf3D7_03_v3:337,179..339,278(+)	conserved Plasmodium protein, unknown function	protein coding	814395
PF3D7_0308100	PF3D7_0308100.1	P. falciparum 3D7	Pf3D7_03_v3:356,319..361,454(+)	zinc finger protein, putative	protein coding	814398
PF3D7_0308200	PF3D7_0308200.1	P. falciparum 3D7	Pf3D7_03_v3:362,342..364,233(-)	T-complex protein 1 subunit eta	protein coding	814399
PF3D7_0308500	PF3D7_0308500.1	P. falciparum 3D7	Pf3D7_03_v3:369,925..370,789(+)	activator of Hsp90 ATPase, putative	protein coding	814401
PF3D7_0308600	PF3D7_0308600.1	P. falciparum 3D7	Pf3D7_03_v3:372,632..374,230(+)	pre-mRNA-processing factor 19, putative	protein coding	814402
PF3D7_0308700	PF3D7_0308700.1	P. falciparum 3D7	Pf3D7_03_v3:375,806..377,437(+)	conserved protein, unknown function	protein coding	814403
PF3D7_0308900	PF3D7_0308900.1	P. falciparum 3D7	Pf3D7_03_v3:379,130..383,290(-)	splicing factor 3B subunit 1, putative	protein coding	814405
PF3D7_0309300	PF3D7_0309300.1	P. falciparum 3D7	Pf3D7_03_v3:397,649..400,516(+)	N2227-like protein, putative	protein coding	814409
PF3D7_0309600	PF3D7_0309600.1	P. falciparum 3D7	Pf3D7_03_v3:407,980..408,318(+)	60S acidic ribosomal protein P2	protein coding	814411
PF3D7_0309700	PF3D7_0309700.1	P. falciparum 3D7	Pf3D7_03_v3:409,102..410,928(-)	SECIS-binding protein 2, putative	protein coding	814412
PF3D7_0310200	PF3D7_0310200.1	P. falciparum 3D7	Pf3D7_03_v3:427,290..440,942(+)	phd finger protein, putative	protein coding	814417
PF3D7_0310300	PF3D7_0310300.1	P. falciparum 3D7	Pf3D7_03_v3:442,720..446,457(+)	phosphoglycerate mutase, putative	protein coding	9221775
PF3D7_0310400	PF3D7_0310400.1	P. falciparum 3D7	Pf3D7_03_v3:447,500..451,384(+)	parasite-infected erythrocyte surface protein	protein coding	814419
PF3D7_0310500	PF3D7_0310500.1	P. falciparum 3D7	Pf3D7_03_v3:452,297..459,106(-)	ATP-dependent RNA helicase DHX57, putative	protein coding	814420
PF3D7_0310900	PF3D7_0310900.1	P. falciparum 3D7	Pf3D7_03_v3:466,085..468,445(+)	conserved Plasmodium protein, unknown function	protein coding	814424
PF3D7_0311100	PF3D7_0311100.1	P. falciparum 3D7	Pf3D7_03_v3:470,860..473,161(-)	pre-mRNA splicing factor, putative	protein coding	814426
PF3D7_0312400	PF3D7_0312400.1	P. falciparum 3D7	Pf3D7_03_v3:524,154..526,439(-)	glycogen synthase kinase 3	protein coding	814439
PF3D7_0312800	PF3D7_0312800.1	P. falciparum 3D7	Pf3D7_03_v3:534,239..535,238(+)	60S ribosomal protein L26, putative	protein coding	814443
PF3D7_0313100	PF3D7_0313100.1	P. falciparum 3D7	Pf3D7_03_v3:539,743..542,810(+)	ubiquitin-protein ligase, putative	protein coding	814446
PF3D7_0313200	PF3D7_0313200.1	P. falciparum 3D7	Pf3D7_03_v3:543,241..543,942(-)	conserved protein, unknown function	protein coding	814447
PF3D7_0313400	PF3D7_0313400.1	P. falciparum 3D7	Pf3D7_03_v3:545,828..548,182(-)	conserved Plasmodium protein, unknown function	protein coding	814448
PF3D7_0316500	PF3D7_0316500.1	P. falciparum 3D7	Pf3D7_03_v3:667,006..668,391(+)	kinetochore protein NUF2, putative	protein coding	814479
PF3D7_0317200	PF3D7_0317200.1	P. falciparum 3D7	Pf3D7_03_v3:690,154..694,815(-)	cdc2-related protein kinase 4	protein coding	814486
PF3D7_0317300	PF3D7_0317300.1	P. falciparum 3D7	Pf3D7_03_v3:699,544..709,728(-)	conserved Plasmodium protein, unknown function	protein coding	814487
PF3D7_0317600	PF3D7_0317600.1	P. falciparum 3D7	Pf3D7_03_v3:725,015..726,130(+)	40S ribosomal protein S11, putative	protein coding	814490
PF3D7_0318200	PF3D7_0318200.1	P. falciparum 3D7	Pf3D7_03_v3:748,465..755,838(+)	DNA-directed RNA polymerase II subunit RPB1	protein coding	814496
PF3D7_0319500	PF3D7_0319500.1	P. falciparum 3D7	Pf3D7_03_v3:815,569..816,855(+)	RNA-binding protein, putative	protein coding	814509
PF3D7_0319600	PF3D7_0319600.1	P. falciparum 3D7	Pf3D7_03_v3:817,913..818,695(+)	elongation factor 1-delta, putative	protein coding	814510
PF3D7_0319700	PF3D7_0319700.1	P. falciparum 3D7	Pf3D7_03_v3:820,708..830,802(+)	ABC transporter I family member 1, putative	protein coding	814511
PF3D7_0320900	PF3D7_0320900.1	P. falciparum 3D7	Pf3D7_03_v3:875,213..876,295(+)	histone H2A.Z	protein coding	814523
PF3D7_0321000	PF3D7_0321000.1	P. falciparum 3D7	Pf3D7_03_v3:877,735..879,511(+)	conserved protein, unknown function	protein coding	814524
PF3D7_0321100	PF3D7_0321100.1	P. falciparum 3D7	Pf3D7_03_v3:879,959..885,493(-)	conserved Plasmodium protein, unknown function	protein coding	814525
PF3D7_0321600	PF3D7_0321600.1	P. falciparum 3D7	Pf3D7_03_v3:900,857..903,369(+)	ATP-dependent RNA helicase DDX42, putative	protein coding	814530
PF3D7_0321700	PF3D7_0321700.1	P. falciparum 3D7	Pf3D7_03_v3:903,764..910,118(-)	conserved Plasmodium protein, unknown function	protein coding	814531
PF3D7_0321800	PF3D7_0321800.1	P. falciparum 3D7	Pf3D7_03_v3:912,916..921,036(+)	WD repeat-containing protein, putative	protein coding	814532
PF3D7_0322000	PF3D7_0322000.1	P. falciparum 3D7	Pf3D7_03_v3:928,644..929,159(-)	peptidyl-prolyl cis-trans isomerase	protein coding	814534
PF3D7_0322100	PF3D7_0322100.1	P. falciparum 3D7	Pf3D7_03_v3:930,640..932,415(-)	mRNA-capping enzyme subunit beta	protein coding	9221789
PF3D7_0323400	PF3D7_0323400.1	P. falciparum 3D7	Pf3D7_03_v3:980,706..983,966(-)	Rh5 interacting protein	protein coding	814549
PF3D7_0323700	PF3D7_0323700.1	P. falciparum 3D7	Pf3D7_03_v3:991,544..993,625(-)	U4/U6.U5 tri-snRNP-associated protein 1, putative	protein coding	814552
PF3D7_0400100	PF3D7_0400100.1	P. falciparum 3D7	Pf3D7_04_v3:28,706..37,677(+)	erythrocyte membrane protein 1, PfEMP1	protein coding	812552
PF3D7_0401600	PF3D7_0401600.1	P. falciparum 3D7	Pf3D7_04_v3:92,576..93,809(-)	rifin	protein coding	812534
PF3D7_0401600	PF3D7_0401600.2	P. falciparum 3D7	Pf3D7_04_v3:92,576..93,809(-)	rifin	protein coding	812534
PF3D7_0401800	PF3D7_0401800.1	P. falciparum 3D7	Pf3D7_04_v3:103,742..105,603(-)	Plasmodium exported protein (PHISTb), unknown function	protein coding	812531
PF3D7_0402000	PF3D7_0402000.1	P. falciparum 3D7	Pf3D7_04_v3:114,601..116,058(-)	Plasmodium exported protein (PHISTa), unknown function	protein coding	812529
PF3D7_0402200	PF3D7_0402200.1	P. falciparum 3D7	Pf3D7_04_v3:127,712..134,468(-)	surface-associated interspersed protein 4.1 (SURFIN 4.1), pseudogene	protein coding	812527
PF3D7_0403200	PF3D7_0403200.1	P. falciparum 3D7	Pf3D7_04_v3:178,518..180,200(+)	pre-mRNA splicing factor, putative	protein coding	812590
PF3D7_0404400	PF3D7_0404400.1	P. falciparum 3D7	Pf3D7_04_v3:238,360..239,499(-)	6-cysteine protein P36	protein coding	812450
PF3D7_0404600	PF3D7_0404600.1	P. falciparum 3D7	Pf3D7_04_v3:247,731..260,147(+)	conserved Plasmodium membrane protein, unknown function	protein coding	812451
PF3D7_0404700	PF3D7_0404700.1	P. falciparum 3D7	Pf3D7_04_v3:260,454..263,418(-)	dipeptidyl aminopeptidase 3	protein coding	812449
PF3D7_0404800	PF3D7_0404800.1	P. falciparum 3D7	Pf3D7_04_v3:264,305..266,170(-)	conserved Plasmodium protein, unknown function	protein coding	812444
PF3D7_0404900	PF3D7_0404900.1	P. falciparum 3D7	Pf3D7_04_v3:267,244..268,380(-)	6-cysteine protein P41	protein coding	812447
PF3D7_0405200	PF3D7_0405200.1	P. falciparum 3D7	Pf3D7_04_v3:279,072..281,983(+)	ag-1 blood stage membrane protein homologue	protein coding	812431
PF3D7_0405400	PF3D7_0405400.1	P. falciparum 3D7	Pf3D7_04_v3:291,251..300,976(+)	pre-mRNA-processing-splicing factor 8, putative	protein coding	812426
PF3D7_0405900	PF3D7_0405900.1	P. falciparum 3D7	Pf3D7_04_v3:316,540..319,178(-)	apical sushi protein	protein coding	812414
PF3D7_0406000	PF3D7_0406000.1	P. falciparum 3D7	Pf3D7_04_v3:321,019..322,545(+)	conserved protein, unknown function	protein coding	812408
PF3D7_0406200	PF3D7_0406200.1	P. falciparum 3D7	Pf3D7_04_v3:329,216..329,689(+)	sexual stage-specific protein precursor	protein coding	812396
PF3D7_0406500	PF3D7_0406500.1	P. falciparum 3D7	Pf3D7_04_v3:334,282..344,054(-)	NYN domain-containing protein, putative	protein coding	812391
PF3D7_0407700	PF3D7_0407700.1	P. falciparum 3D7	Pf3D7_04_v3:377,481..383,087(-)	conserved Plasmodium protein, unknown function	protein coding	812365
PF3D7_0407800	PF3D7_0407800.1	P. falciparum 3D7	Pf3D7_04_v3:384,924..390,806(+)	conserved Plasmodium protein, unknown function	protein coding	812363
PF3D7_0407900	PF3D7_0407900.1	P. falciparum 3D7	Pf3D7_04_v3:391,347..393,350(-)	AAA family ATPase, putative	protein coding	812364
PF3D7_0408100	PF3D7_0408100.1	P. falciparum 3D7	Pf3D7_04_v3:397,328..400,693(+)	conserved Plasmodium protein, unknown function	protein coding	812362
PF3D7_0408500	PF3D7_0408500.1	P. falciparum 3D7	Pf3D7_04_v3:408,679..410,697(-)	flap endonuclease 1	protein coding	812356
PF3D7_0408900	PF3D7_0408900.1	P. falciparum 3D7	Pf3D7_04_v3:424,300..427,194(+)	tRNA N6-adenosine threonylcarbamoyltransferase	protein coding	812544
PF3D7_0408900	PF3D7_0408900.2	P. falciparum 3D7	Pf3D7_04_v3:424,300..427,194(+)	tRNA N6-adenosine threonylcarbamoyltransferase	protein coding	812544
PF3D7_0409100	PF3D7_0409100.1	P. falciparum 3D7	Pf3D7_04_v3:436,217..437,981(-)	U4/U6 small nuclear ribonucleoprotein PRP31, putative	protein coding	812409
PF3D7_0409800	PF3D7_0409800.1	P. falciparum 3D7	Pf3D7_04_v3:459,710..461,437(+)	zinc finger protein, putative	protein coding	812387
PF3D7_0410000	PF3D7_0410000.1	P. falciparum 3D7	Pf3D7_04_v3:464,732..467,339(-)	erythrocyte vesicle protein 1	protein coding	812383
PF3D7_0410600	PF3D7_0410600.1	P. falciparum 3D7	Pf3D7_04_v3:479,028..480,468(+)	conserved protein, unknown function	protein coding	812381
PF3D7_0410800	PF3D7_0410800.1	P. falciparum 3D7	Pf3D7_04_v3:485,832..489,728(+)	conserved Plasmodium protein, unknown function	protein coding	812377
PF3D7_0411000	PF3D7_0411000.1	P. falciparum 3D7	Pf3D7_04_v3:499,168..503,880(+)	conserved Plasmodium protein, unknown function	protein coding	812375
PF3D7_0411300	PF3D7_0411300.1	P. falciparum 3D7	Pf3D7_04_v3:510,380..512,548(+)	conserved Plasmodium protein, unknown function	protein coding	9221799
PF3D7_0413600	PF3D7_0413600.1	P. falciparum 3D7	Pf3D7_04_v3:616,914..618,350(-)	26S protease regulatory subunit 6B, putative	protein coding	812570
PF3D7_0413900	PF3D7_0413900.1	P. falciparum 3D7	Pf3D7_04_v3:623,168..626,226(-)	ubiquitin carboxyl-terminal hydrolase 13, putative	protein coding	812575
PF3D7_0414000	PF3D7_0414000.1	P. falciparum 3D7	Pf3D7_04_v3:626,891..633,126(-)	structural maintenance of chromosomes protein 3, putative	protein coding	812569
PF3D7_0415200	PF3D7_0415200.1	P. falciparum 3D7	Pf3D7_04_v3:672,500..679,138(-)	conserved Plasmodium protein, unknown function	protein coding	812556
PF3D7_0415300	PF3D7_0415300.1	P. falciparum 3D7	Pf3D7_04_v3:681,810..685,968(+)	cdc2-related protein kinase 3	protein coding	812558
PF3D7_0415800	PF3D7_0415800.1	P. falciparum 3D7	Pf3D7_04_v3:693,906..696,533(+)	RING zinc finger protein, putative	protein coding	812545
PF3D7_0415900	PF3D7_0415900.1	P. falciparum 3D7	Pf3D7_04_v3:697,918..698,768(-)	60S ribosomal protein L15, putative	protein coding	9221802
PF3D7_0416000	PF3D7_0416000.1	P. falciparum 3D7	Pf3D7_04_v3:701,526..704,162(-)	RNA-binding protein, putative	protein coding	812542
PF3D7_0416200	PF3D7_0416200.1	P. falciparum 3D7	Pf3D7_04_v3:709,460..710,083(-)	conserved protein, unknown function	protein coding	812541
PF3D7_0416400	PF3D7_0416400.1	P. falciparum 3D7	Pf3D7_04_v3:718,202..722,654(+)	histone acetyltransferase, putative	protein coding	812538
PF3D7_0417300	PF3D7_0417300.1	P. falciparum 3D7	Pf3D7_04_v3:750,860..753,712(-)	LETM1-like protein, putative	protein coding	812521
PF3D7_0418100	PF3D7_0418100.1	P. falciparum 3D7	Pf3D7_04_v3:810,995..814,642(-)	protein SOC1, putative	protein coding	812513
PF3D7_0418300	PF3D7_0418300.1	P. falciparum 3D7	Pf3D7_04_v3:819,362..822,340(-)	conserved Plasmodium protein, unknown function	protein coding	812511
PF3D7_0418600	PF3D7_0418600.1	P. falciparum 3D7	Pf3D7_04_v3:834,394..840,429(+)	regulator of chromosome condensation, putative	protein coding	812503
PF3D7_0419400	PF3D7_0419400.1	P. falciparum 3D7	Pf3D7_04_v3:857,998..865,957(+)	conserved Plasmodium protein, unknown function	protein coding	812490
PF3D7_0419600	PF3D7_0419600.1	P. falciparum 3D7	Pf3D7_04_v3:870,737..871,873(+)	ran-specific GTPase-activating protein 1, putative	protein coding	812489
PF3D7_0420000	PF3D7_0420000.1	P. falciparum 3D7	Pf3D7_04_v3:894,612..904,724(-)	zinc finger protein, putative	protein coding	812483
PF3D7_0420300	PF3D7_0420300.1	P. falciparum 3D7	Pf3D7_04_v3:917,990..928,411(+)	AP2 domain transcription factor, putative	protein coding	812480
PF3D7_0422200	PF3D7_0422200.1	P. falciparum 3D7	Pf3D7_04_v3:1,004,462..1,017,247(-)	erythrocyte membrane-associated antigen	protein coding	812467
PF3D7_0422400	PF3D7_0422400.1	P. falciparum 3D7	Pf3D7_04_v3:1,026,648..1,027,399(+)	40S ribosomal protein S19	protein coding	812460
PF3D7_0422500	PF3D7_0422500.1	P. falciparum 3D7	Pf3D7_04_v3:1,029,329..1,037,953(+)	pre-mRNA-splicing helicase BRR2, putative	protein coding	812456
PF3D7_0422900	PF3D7_0422900.1	P. falciparum 3D7	Pf3D7_04_v3:1,045,381..1,046,696(+)	methyltransferase, putative	protein coding	812452
PF3D7_0423600	PF3D7_0423600.1	P. falciparum 3D7	Pf3D7_04_v3:1,061,790..1,066,628(-)	conserved Plasmodium protein, unknown function	protein coding	812438
PF3D7_0424000	PF3D7_0424000.1	P. falciparum 3D7	Pf3D7_04_v3:1,080,959..1,082,189(+)	Plasmodium exported protein (PHISTc), unknown function	protein coding	812434
PF3D7_0424300	PF3D7_0424300.1	P. falciparum 3D7	Pf3D7_04_v3:1,093,138..1,097,835(+)	erythrocyte binding antigen-165, pseudogene	protein coding	812436
PF3D7_0424700	PF3D7_0424700.1	P. falciparum 3D7	Pf3D7_04_v3:1,118,430..1,122,414(+)	serine/threonine protein kinase, FIKK family	protein coding	812427
PF3D7_0424900	PF3D7_0424900.1	P. falciparum 3D7	Pf3D7_04_v3:1,127,779..1,128,802(+)	Plasmodium exported protein (PHISTa), unknown function	protein coding	812425
PF3D7_0500800	PF3D7_0500800.1	P. falciparum 3D7	Pf3D7_05_v3:43,327..47,761(-)	mature parasite-infected erythrocyte surface antigen	protein coding	812891
PF3D7_0501000	PF3D7_0501000.1	P. falciparum 3D7	Pf3D7_05_v3:55,841..56,872(+)	Plasmodium exported protein, unknown function	protein coding	812887
PF3D7_0501200	PF3D7_0501200.1	P. falciparum 3D7	Pf3D7_05_v3:64,065..65,489(+)	parasite-infected erythrocyte surface protein	protein coding	812877
PF3D7_0501300	PF3D7_0501300.1	P. falciparum 3D7	Pf3D7_05_v3:68,930..70,113(+)	skeleton-binding protein 1	protein coding	812874
PF3D7_0501400	PF3D7_0501400.1	P. falciparum 3D7	Pf3D7_05_v3:74,509..79,842(+)	interspersed repeat antigen	protein coding	812870
PF3D7_0501900	PF3D7_0501900.1	P. falciparum 3D7	Pf3D7_05_v3:95,161..96,633(-)	conserved protein, unknown function	protein coding	812862
PF3D7_0502000	PF3D7_0502000.1	P. falciparum 3D7	Pf3D7_05_v3:97,657..101,895(+)	vacuolar protein sorting-associated protein 11, putative	protein coding	812859
PF3D7_0502700	PF3D7_0502700.1	P. falciparum 3D7	Pf3D7_05_v3:120,107..121,455(-)	conserved protein, unknown function	protein coding	812844
PF3D7_0503200	PF3D7_0503200.1	P. falciparum 3D7	Pf3D7_05_v3:130,453..133,392(+)	conserved Plasmodium protein, unknown function	protein coding	812928
PF3D7_0503300	PF3D7_0503300.1	P. falciparum 3D7	Pf3D7_05_v3:135,004..135,930(-)	serine/arginine-rich splicing factor 12	protein coding	812926
PF3D7_0503800	PF3D7_0503800.1	P. falciparum 3D7	Pf3D7_05_v3:151,422..152,384(-)	60S ribosomal protein L31	protein coding	812922
